"","logFC","logCPM","LR","PValue","FDR"
"FABP7",6.18827660191864,7.89748827571964,118.240519091067,1.53587557589454e-27,7.0064330083444e-27
"FAHD2B",-1.16875597142263,1.97680603447123,75.2770996077592,4.09076911835938e-18,1.24868611133859e-17
"FAIM2",-1.77016321149353,0.410999322197861,116.717821387233,3.30959018434974e-27,1.49558944970054e-26
"FAIM3",1.7230577408,3.48042034739587,155.118304809024,1.31929104219747e-35,8.2588727889496e-35
"FAM101A",1.79065825170249,2.03666144826624,28.1991485566949,1.09452706077561e-07,1.98700605318579e-07
"FAM101B",1.53519053983689,5.85150402663077,139.784621644668,2.96696389790084e-32,1.63903578475434e-31
"FAM102A",-1.22075301488094,6.1720181640648,118.447217642944,1.38388148984258e-27,6.32467801140018e-27
"FAM107A",-1.47096020581171,5.39765705841352,176.566902817457,2.72297624586963e-40,2.04587105835662e-39
"FAM108C1",-1.98369882415418,3.58448374956726,496.845206648149,4.61736234246326e-110,3.75923942843498e-108
"FAM110C",1.10304544969247,2.19559729867863,41.6096807185291,1.11440087152291e-10,2.38042416986663e-10
"FAM111B",2.79182104416989,2.2117160524548,338.155256799613,1.60925926016452e-75,5.02648924888705e-74
"FAM113B",2.02395343269609,3.31755481786011,268.453031207792,2.46642482149494e-60,4.39560567170492e-59
"FAM115C",1.8377876793123,4.99578625937168,333.432817261493,1.71840967455131e-74,5.17223954366464e-73
"FAM118A",1.0487303223803,3.73056796383499,104.499459904583,1.57236264219654e-24,6.27555076509142e-24
"FAM124A",-1.0814846418842,1.77678087788299,71.8195250274745,2.35807373098909e-17,6.9172948450495e-17
"FAM124B",1.11562882727873,1.716370310043,50.7253422836814,1.06238909388657e-12,2.50095356451508e-12
"FAM128A",1.26652490012223,5.45451267020525,116.477429376454,3.73607004539858e-27,1.6816830092566e-26
"FAM129A",1.03717470985251,5.85666256900132,93.8954556004463,3.32636945805946e-22,1.20144432862128e-21
"FAM135B",1.40979287648727,1.14682189452505,24.6615663481778,6.83334029584028e-07,1.18108975716618e-06
